year,gdp
1960,2294.56881421577
1961,2231.2938237478
1962,2255.23004413036
1963,2354.83912197975
1964,2529.5181790541
1965,2739.58584928189
1966,3010.70590757947
1967,3173.07619352225
1968,3411.06015434457
1969,3703.99040525529
1970,4121.93280924889
1971,4586.25584803149
1972,5141.61672495185
1973,5870.60056368405
1974,7043.47435083838
1975,7489.94053115827
1976,8783.72159204111
1977,8892.76167988947
1978,9096.05872232533
1979,10012.4439669407
1980,11135.4379854841
1981,12297.7856877506
1982,12439.7478409307
1983,13377.8956545368
1984,13826.6499923594
1985,14060.4617782265
1986,14403.8287021822
1987,16245.4516791506
1988,18864.2629180983
1989,20638.2900486958
1990,21371.2910981421
1991,21664.598643531
1992,20771.2503529737
1993,20017.4298480977
1994,19859.2039778368
1995,20577.4893858895
1996,21183.2200827089
1997,21770.1340814172
1998,20887.8394667666
1999,22167.2258498882
2000,24124.169174631
2001,23691.5947188738
2002,24167.8043060561
2003,28172.1488309084
2004,31979.8719510723
2005,36189.5883840265
2006,40386.6994835116
2007,44544.5268004039
2008,46596.3359912609
2009,40773.4543637445
2010,47447.4760241936
2011,52082.2107601003
2012,52496.6948704709
2013,52418.3150618347
2014,50633.2088224323
2015,43525.3701865304
2016,42348.9454605979
2017,45032.1199081697
